"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"541","Sahara J-Journal of Social Aspects of HIV-AIDS","PEO Health","1.3",29,"United Kingdom","Taylor and Francis Ltd.","2004-2020",0.00049,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,33,54,54,"62%","0%","62% (33)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","33","54","61.1%","61.1% (33)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,"38","70.4%","70.4% (38)","13","24.1%","24.1% (13)",NA,NA,NA,"2","3.7%","3.7% (2)",NA,NA,NA,NA,NA,NA,"1","1.9%","1.9% (1)","16","29.6%","29.6% (16)","4","7.4%","7.4% (4)","5","9.3%","9.3% (5)",NA,NA,NA,"29","53.7%","53.7% (29)","1","1.9%","1.9% (1)","2","3.7%","3.7% (2)",NA,NA,NA,NA,NA,NA,"13","24.1%","24.1% (13)",NA,NA,NA,"38","70.4%","70.4% (38)",NA,NA,NA,"38","70.4%","70.4% (38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","29.6%","29.6% (16)"
"542","Salud Colectiva","PEO Health",".489",12,"Argentina","Universidad Nacional de Lanus","2008-2020",0.00037,"Americas","Latin America and Caribbean","Latin America and Caribbean","Upper-middle-income",".328",0,18,40,40,"44%","0%","44% (18)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","18","40","45.0%","45.0% (18)","9","21","42.9%","42.9% (9)",NA,NA,NA,NA,NA,NA,NA,"39","97.5%","97.5% (39)",NA,NA,NA,"1","2.5%","2.5% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","15.0%","15.0% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","85.0%","85.0% (34)",NA,NA,NA,"1","2.5%","2.5% (1)","34","85.0%","85.0% (34)",NA,NA,NA,"5","12.5%","12.5% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","85.0%","85.0% (34)",NA,NA,NA,"6","15.0%","15.0% (6)"
"543","Salud Publica De Mexico","PEO Health","1.647",54,"Mexico","Instituto Nacional de Salud Publica","1961-2020",0.00185,"Americas","Latin America and Caribbean","Latin America and Caribbean","Upper-middle-income",".322",0,6,33,33,"18%","0%","18% (6)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","6","33","18.2%","18.2% (6)","2","6","33.3%","33.3% (2)",NA,NA,NA,NA,NA,NA,NA,"31","93.9%","93.9% (31)",NA,NA,NA,"2","6.1%","6.1% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","45.5%","45.5% (15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","54.5%","54.5% (18)",NA,NA,NA,"2","6.1%","6.1% (2)","19","57.6%","57.6% (19)",NA,NA,NA,"12","36.4%","36.4% (12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","57.6%","57.6% (19)",NA,NA,NA,"14","42.4%","42.4% (14)"
"544","Sante Publique","PEO Health",".248",17,"France","Societe Francaise de Sante Publique","1947, 1973-1979, 1993, 1996-2020",0.00052,"Europe","Western European and Other","Europe and Central Asia","High-income",".049",0,20,43,43,"46%","0%","46% (20)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","20","43","46.5%","46.5% (20)","3","4","75.0%","75.0% (3)",NA,NA,NA,NA,"7","16.3%","16.3% (7)","3","7.0%","7.0% (3)",NA,NA,NA,"33","76.7%","76.7% (33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","83.7%","83.7% (36)","3","7.0%","7.0% (3)","4","9.3%","9.3% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","76.7%","76.7% (33)",NA,NA,NA,"2","4.7%","4.7% (2)","3","7.0%","7.0% (3)",NA,NA,NA,"5","11.6%","11.6% (5)",NA,NA,NA,"7","16.3%","16.3% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","83.7%","83.7% (36)"
"545","SAR AND QSAR IN ENVIRONMENTAL RESEARCH","Environment","2.053",48,"United Kingdom","Taylor and Francis Ltd.","1993-2020",0.00097,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,9,25,26,"36%","4%","36% (9)","4% (1)","9","24","37.5%","37.5% (9)","0","1","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"6","23.1%","23.1% (6)",NA,NA,NA,"16","61.5%","61.5% (16)","2","7.7%","7.7% (2)",NA,NA,NA,"2","7.7%","7.7% (2)","19","73.1%","73.1% (19)",NA,NA,NA,"2","7.7%","7.7% (2)",NA,NA,NA,"5","19.2%","19.2% (5)","2","7.7%","7.7% (2)","16","61.5%","61.5% (16)",NA,NA,NA,NA,NA,NA,"6","23.1%","23.1% (6)","2","7.7%","7.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11.5%","11.5% (3)","6","23.1%","23.1% (6)",NA,NA,NA,NA,NA,NA,"17","65.4%","65.4% (17)"
"546","Saude e Sociedade","PEO Health",".322",20,"Brazil","University of Sao Paolo","2008-2020",0.00044,"Americas","Latin America and Caribbean","Latin America and Caribbean","Upper-middle-income",".408",2,28,50,52,"56%","4%","56% (28)","4% (2)","10","23","43.5%","43.5% (10)","1","1","100.0%","100.0% (1)","18","27","66.7%","66.7% (18)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,"1","1.9%","1.9% (1)","45","86.5%","86.5% (45)",NA,NA,NA,"6","11.5%","11.5% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","13.5%","13.5% (7)","1","1.9%","1.9% (1)",NA,NA,NA,NA,NA,NA,"44","84.6%","84.6% (44)",NA,NA,NA,"6","11.5%","11.5% (6)","44","84.6%","84.6% (44)",NA,NA,NA,"1","1.9%","1.9% (1)",NA,NA,NA,"1","1.9%","1.9% (1)",NA,NA,NA,"1","1.9%","1.9% (1)",NA,NA,NA,NA,NA,NA,"44","84.6%","84.6% (44)",NA,NA,NA,"7","13.5%","13.5% (7)"
"547","SCANDINAVIAN JOURNAL OF PUBLIC HEALTH","PEO Health","2.183",82,"United Kingdom","SAGE Publications Ltd","1973-1982, 1984-1986, 1988-2020",0.0053,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,25,51,51,"50%","0%","50% (25)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","25","51","49.0%","49.0% (25)","5","11","45.5%","45.5% (5)",NA,NA,NA,NA,NA,NA,NA,"4","7.8%","7.8% (4)",NA,NA,NA,"47","92.2%","92.2% (47)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","100.0%","100.0% (51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","92.2%","92.2% (47)",NA,NA,NA,NA,NA,NA,"4","7.8%","7.8% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","100.0%","100.0% (51)"
"548","SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH","PEO Health","4.119",103,"Finland","Finnish Institute of Occupational Health","1975-2020",0.00486,"Europe","Western European and Other","Europe and Central Asia","High-income",".047",0,31,90,90,"34%","0%","34% (31)","0% (0)","26","73","35.6%","35.6% (26)","0","2","0.0%","0.0% (0)","5","17","29.4%","29.4% (5)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"6","6.7%","6.7% (6)",NA,NA,NA,"81","90.0%","90.0% (81)",NA,NA,NA,NA,NA,NA,"3","3.3%","3.3% (3)","90","100.0%","100.0% (90)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3.3%","3.3% (3)","81","90.0%","90.0% (81)",NA,NA,NA,NA,NA,NA,"6","6.7%","6.7% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2.2%","2.2% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","97.8%","97.8% (88)"
"549","Science and Public Policy","Environment","1.73",65,"United Kingdom","Oxford University Press","1974, 1976-1982, 1984-2020",0.00214,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,12,39,39,"30%","0%","30% (12)","0% (0)","11","36","30.6%","30.6% (11)","1","3","33.3%","33.3% (1)","1","3","33.3%","33.3% (1)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,"1","2.6%","2.6% (1)","10","25.6%","25.6% (10)","1","2.6%","2.6% (1)","19","48.7%","48.7% (19)",NA,NA,NA,NA,NA,NA,"8","20.5%","20.5% (8)","33","84.6%","84.6% (33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","15.4%","15.4% (6)","8","20.5%","20.5% (8)","19","48.7%","48.7% (19)","3","7.7%","7.7% (3)","1","2.6%","2.6% (1)","7","17.9%","17.9% (7)",NA,NA,NA,"1","2.6%","2.6% (1)",NA,NA,NA,"1","2.6%","2.6% (1)","7","17.9%","17.9% (7)","1","2.6%","2.6% (1)","3","7.7%","7.7% (3)",NA,NA,NA,"27","69.2%","69.2% (27)"
"550","SCIENCE OF THE TOTAL ENVIRONMENT","Environment","6.551",244,"Netherlands","Elsevier","1970, 1972-2021",0.17967,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",1,51,218,219,"24%","0%","24% (51)","0% (1)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","51","218","23.4%","23.4% (51)","15","50","30.0%","30.0% (15)",NA,NA,NA,NA,NA,NA,NA,"55","25.1%","25.1% (55)","1","0.5%","0.5% (1)","86","39.3%","39.3% (86)","4","1.8%","1.8% (4)",NA,NA,NA,"73","33.3%","33.3% (73)","155","70.8%","70.8% (155)",NA,NA,NA,"4","1.8%","1.8% (4)",NA,NA,NA,"60","27.4%","27.4% (60)","74","33.8%","33.8% (74)","86","39.3%","39.3% (86)","7","3.2%","3.2% (7)","1","0.5%","0.5% (1)","48","21.9%","21.9% (48)","3","1.4%","1.4% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","31.1%","31.1% (68)","7","3.2%","3.2% (7)","7","3.2%","3.2% (7)",NA,NA,NA,"137","62.6%","62.6% (137)"
"551","Sex Education-Sexuality Society and Learning","PEO Health","1.48",34,"United Kingdom","Routledge","2005-2020",0.00124,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,31,40,40,"78%","0%","78% (31)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","31","40","77.5%","77.5% (31)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,"4","10.0%","10.0% (4)","12","30.0%","30.0% (12)",NA,NA,NA,"12","30.0%","30.0% (12)","1","2.5%","2.5% (1)",NA,NA,NA,"11","27.5%","27.5% (11)","29","72.5%","72.5% (29)",NA,NA,NA,"4","10.0%","10.0% (4)",NA,NA,NA,"7","17.5%","17.5% (7)","12","30.0%","30.0% (12)","12","30.0%","30.0% (12)","2","5.0%","5.0% (2)",NA,NA,NA,"10","25.0%","25.0% (10)",NA,NA,NA,"4","10.0%","10.0% (4)",NA,NA,NA,"4","10.0%","10.0% (4)","4","10.0%","10.0% (4)",NA,NA,NA,"2","5.0%","5.0% (2)",NA,NA,NA,"30","75.0%","75.0% (30)"
"552","Sexual & Reproductive Healthcare","PEO Health","1.34",27,"Netherlands","Elsevier","2010-2020",0.00168,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,28,29,29,"96%","0%","96% (28)","0% (0)","19","20","95.0%","95.0% (19)","1","1","100.0%","100.0% (1)","9","9","100.0%","100.0% (9)","4","4","100.0%","100.0% (4)",NA,NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","1","3.4%","3.4% (1)","24","82.8%","82.8% (24)",NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","28","96.6%","96.6% (28)",NA,NA,NA,"1","3.4%","3.4% (1)",NA,NA,NA,NA,NA,NA,"2","6.9%","6.9% (2)","23","79.3%","79.3% (23)",NA,NA,NA,"1","3.4%","3.4% (1)","2","6.9%","6.9% (2)","1","3.4%","3.4% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.4%","3.4% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","96.6%","96.6% (28)"
"553","Sexual and Reproductive Health Matters","PEO Health","Not Available",57,"United Kingdom","Taylor and Francis Ltd.","2019-2020",0,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,35,44,44,"80%","0%","80% (35)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","35","44","79.5%","79.5% (35)","10","10","100.0%","100.0% (10)",NA,NA,NA,NA,"6","13.6%","13.6% (6)","14","31.8%","31.8% (14)","2","4.5%","4.5% (2)","15","34.1%","34.1% (15)","4","9.1%","9.1% (4)",NA,NA,NA,"3","6.8%","6.8% (3)","27","61.4%","61.4% (27)","3","6.8%","6.8% (3)","7","15.9%","15.9% (7)",NA,NA,NA,"7","15.9%","15.9% (7)","3","6.8%","6.8% (3)","15","34.1%","34.1% (15)","5","11.4%","11.4% (5)","2","4.5%","4.5% (2)","9","20.5%","20.5% (9)","4","9.1%","9.1% (4)","6","13.6%","13.6% (6)",NA,NA,NA,"7","15.9%","15.9% (7)","6","13.6%","13.6% (6)","3","6.8%","6.8% (3)","5","11.4%","11.4% (5)",NA,NA,NA,"23","52.3%","52.3% (23)"
"554","Sexual Health","PEO Health","1.584",43,"Australia","CSIRO","2004-2020",0.00353,"Western Pacific","Western European and Other","East Asia and Pacific","High-income",".097",1,17,53,54,"32%","2%","32% (17)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","17","53","32.1%","32.1% (17)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,"1","1.9%","1.9% (1)","5","9.3%","9.3% (5)",NA,NA,NA,"6","11.1%","11.1% (6)","8","14.8%","14.8% (8)",NA,NA,NA,"34","63.0%","63.0% (34)","42","77.8%","77.8% (42)",NA,NA,NA,"4","7.4%","7.4% (4)",NA,NA,NA,"8","14.8%","14.8% (8)","39","72.2%","72.2% (39)","6","11.1%","11.1% (6)",NA,NA,NA,NA,NA,NA,"5","9.3%","9.3% (5)","3","5.6%","5.6% (3)","1","1.9%","1.9% (1)",NA,NA,NA,"1","1.9%","1.9% (1)","14","25.9%","25.9% (14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","72.2%","72.2% (39)"
"555","Social Science & Medicine","PEO Health","3.616",243,"United Kingdom","Elsevier Ltd.","1967-2020",0.05054,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,11,21,21,"52%","0%","52% (11)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","11","21","52.4%","52.4% (11)","4","11","36.4%","36.4% (4)",NA,NA,NA,NA,NA,NA,NA,"19","90.5%","90.5% (19)",NA,NA,NA,"2","9.5%","9.5% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","100.0%","100.0% (21)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","9.5%","9.5% (2)",NA,NA,NA,NA,NA,NA,"19","90.5%","90.5% (19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","100.0%","100.0% (21)"
"556","Social Work in Public Health","PEO Health",".607",28,"United States","Routledge","2007-2020",0.00078,"Americas","Western European and Other","North America","High-income",".204",0,10,16,16,"62%","0%","62% (10)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","10","16","62.5%","62.5% (10)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","100.0%","100.0% (16)"
"557","Society & Natural Resources","Environment","1.813",87,"United Kingdom","Taylor and Francis Ltd.","1988-2020",0.00351,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,49,105,106,"46%","1%","46% (49)","1% (1)",NA,NA,NA,NA,"2","2","100.0%","100.0% (2)","49","105","46.7%","46.7% (49)","30","53","56.6%","56.6% (30)",NA,NA,NA,NA,"4","3.8%","3.8% (4)","71","67.0%","67.0% (71)",NA,NA,NA,"20","18.9%","18.9% (20)","2","1.9%","1.9% (2)",NA,NA,NA,"9","8.5%","8.5% (9)","97","91.5%","91.5% (97)",NA,NA,NA,"3","2.8%","2.8% (3)",NA,NA,NA,"6","5.7%","5.7% (6)","10","9.4%","9.4% (10)","20","18.9%","18.9% (20)","2","1.9%","1.9% (2)",NA,NA,NA,"69","65.1%","65.1% (69)","1","0.9%","0.9% (1)","4","3.8%","3.8% (4)",NA,NA,NA,"4","3.8%","3.8% (4)","6","5.7%","5.7% (6)","1","0.9%","0.9% (1)","2","1.9%","1.9% (2)",NA,NA,NA,"93","87.7%","87.7% (93)"
"558","Sociology of Health & Illness","PEO Health","2.317",97,"United Kingdom","Wiley-Blackwell Publishing Ltd","1979-2020",0.00484,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,13,18,18,"72%","0%","72% (13)","0% (0)",NA,NA,NA,NA,"2","2","100.0%","100.0% (2)","13","18","72.2%","72.2% (13)","5","7","71.4%","71.4% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","100.0%","100.0% (18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","100.0%","100.0% (18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","100.0%","100.0% (18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","100.0%","100.0% (18)"
"559","SOIL & SEDIMENT CONTAMINATION","Environment","1.25",47,"United Kingdom","Taylor and Francis Ltd.","1996-2020",0.00079,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,6,47,48,"12%","2%","12% (6)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","6","47","12.8%","12.8% (6)","0","7","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"41","85.4%","85.4% (41)",NA,NA,NA,"7","14.6%","14.6% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","100.0%","100.0% (48)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","14.6%","14.6% (7)",NA,NA,NA,NA,NA,NA,"41","85.4%","85.4% (41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","100.0%","100.0% (48)"
"560","SOIL SCIENCE AND PLANT NUTRITION","Environment","1.432",61,"United Kingdom","Taylor and Francis Ltd.","1955-2020",0.00193,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,6,24,24,"24%","0%","24% (6)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","6","24","25.0%","25.0% (6)","2","5","40.0%","40.0% (2)",NA,NA,NA,NA,NA,NA,NA,"11","45.8%","45.8% (11)",NA,NA,NA,"5","20.8%","20.8% (5)",NA,NA,NA,NA,NA,NA,"8","33.3%","33.3% (8)","24","100.0%","100.0% (24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","33.3%","33.3% (8)","5","20.8%","20.8% (5)","8","33.3%","33.3% (8)",NA,NA,NA,"3","12.5%","12.5% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","33.3%","33.3% (8)",NA,NA,NA,"16","66.7%","66.7% (16)"
"561","Statistics in Medicine","PEO Health","1.783",183,"United Kingdom","John Wiley and Sons Ltd","1982-2020",0.02931,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,20,62,62,"32%","0%","32% (20)","0% (0)",NA,NA,NA,NA,"1","4","25.0%","25.0% (1)","20","62","32.3%","32.3% (20)","1","4","25.0%","25.0% (1)",NA,NA,NA,NA,NA,NA,NA,"42","67.7%","67.7% (42)",NA,NA,NA,"16","25.8%","25.8% (16)","1","1.6%","1.6% (1)",NA,NA,NA,"3","4.8%","4.8% (3)","61","98.4%","98.4% (61)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1.6%","1.6% (1)","4","6.5%","6.5% (4)","16","25.8%","25.8% (16)",NA,NA,NA,NA,NA,NA,"42","67.7%","67.7% (42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.2%","3.2% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","96.8%","96.8% (60)"
"562","STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","Environment","2.351",67,"United States","Springer New York","1999-2020",0.00683,"Americas","Western European and Other","North America","High-income",".204",2,5,39,41,"12%","5%","12% (5)","5% (2)","5","38","13.2%","13.2% (5)","0","1","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"17","41.5%","41.5% (17)","1","2.4%","2.4% (1)","13","31.7%","31.7% (13)","1","2.4%","2.4% (1)",NA,NA,NA,"9","22.0%","22.0% (9)","34","82.9%","82.9% (34)",NA,NA,NA,"1","2.4%","2.4% (1)",NA,NA,NA,"6","14.6%","14.6% (6)","9","22.0%","22.0% (9)","13","31.7%","31.7% (13)","2","4.9%","4.9% (2)","1","2.4%","2.4% (1)","15","36.6%","36.6% (15)","1","2.4%","2.4% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","26.8%","26.8% (11)",NA,NA,NA,"2","4.9%","4.9% (2)",NA,NA,NA,"28","68.3%","68.3% (28)"
"563","Studies in Family Planning","PEO Health","2.667",68,"United Kingdom","Wiley-Blackwell Publishing Ltd","1970-2020",0.00211,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,17,26,26,"66%","0%","66% (17)","0% (0)","5","10","50.0%","50.0% (5)","0","1","0.0%","0.0% (0)","12","16","75.0%","75.0% (12)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"3","11.5%","11.5% (3)","19","73.1%","73.1% (19)","1","3.8%","3.8% (1)","1","3.8%","3.8% (1)","1","3.8%","3.8% (1)",NA,NA,NA,"1","3.8%","3.8% (1)","20","76.9%","76.9% (20)",NA,NA,NA,"4","15.4%","15.4% (4)",NA,NA,NA,"2","7.7%","7.7% (2)","2","7.7%","7.7% (2)","1","3.8%","3.8% (1)",NA,NA,NA,"1","3.8%","3.8% (1)","19","73.1%","73.1% (19)",NA,NA,NA,"3","11.5%","11.5% (3)",NA,NA,NA,"4","15.4%","15.4% (4)","2","7.7%","7.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","76.9%","76.9% (20)"
"564","Sustainability","Environment","2.576",85,"Switzerland","MDPI AG","2009-2020",0.04113,"Europe","Western European and Other","Europe and Central Asia","High-income",NA,0,1,12,12,"8%","0%","8% (1)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","1","12","8.3%","8.3% (1)","1","12","8.3%","8.3% (1)",NA,NA,NA,NA,NA,NA,NA,"2","16.7%","16.7% (2)",NA,NA,NA,"7","58.3%","58.3% (7)",NA,NA,NA,NA,NA,NA,"3","25.0%","25.0% (3)","12","100.0%","100.0% (12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","25.0%","25.0% (3)","7","58.3%","58.3% (7)",NA,NA,NA,NA,NA,NA,"2","16.7%","16.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8.3%","8.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","91.7%","91.7% (11)"
"565","Sustainability Accounting Management and Policy Journal","Environment","2.056",29,"United Kingdom","Emarald Group Publishing Ltd","2010-2020",0.00048,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,31,96,96,"32%","0%","32% (31)","0% (0)","22","74","29.7%","29.7% (22)","1","1","100.0%","100.0% (1)","9","22","40.9%","40.9% (9)","3","8","37.5%","37.5% (3)",NA,NA,NA,NA,"1","1.0%","1.0% (1)","15","15.6%","15.6% (15)","1","1.0%","1.0% (1)","46","47.9%","47.9% (46)",NA,NA,NA,NA,NA,NA,"33","34.4%","34.4% (33)","88","91.7%","91.7% (88)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","8.3%","8.3% (8)","33","34.4%","34.4% (33)","46","47.9%","47.9% (46)",NA,NA,NA,"1","1.0%","1.0% (1)","15","15.6%","15.6% (15)",NA,NA,NA,"1","1.0%","1.0% (1)",NA,NA,NA,"1","1.0%","1.0% (1)","10","10.4%","10.4% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","88.5%","88.5% (85)"
